"","bird","total.bright","avg.bright","hue","chrom"
"1","Bird_1",86113.4166666667,42.9279245596544,616.139,0.370454423926101
"2","Bird_2",49464.4966666667,24.6582735127949,660.109,0.485535041427819
"3","Bird_3",54175.9433333333,27.006950814224,666.801666666667,0.44796676919398
